note,current_folder,proposed_folder,confidence,reason
Apple Notes/Boic meeting basel july 25.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/Boring List.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Boring.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Brainstorm Internship.md,Apple Notes,Ideas,0.65,keywords=brainstorm
Apple Notes/Brasil.md,Apple Notes,Personal,0.65,keywords=family
Apple Notes/Brief Bäume Gabi.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Bsv 031022.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Bsv Demo Bern BSV.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Bsv demo 2.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Bsv notice.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Bsv update.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Bsv weekly 2810.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Budget 2026 (2025 Cycle Notes).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/Budget-conglem planning --whats coming.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Admin/HR Introduction.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Admin/Hr successfactor intro 19.12.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Admin/Training ISTT 2.0 Intro.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Client Engagement/Sauer Dirk Stefan.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Client Engagement/Senn Eric.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Axa/AXA evidencing input 09.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/By weekly CS.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Byweekly cs 20 02.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/COMPAS UPDATE marc 13.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/CS Mailroom.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/CS Procurement Savings Guidelines.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/CS UH1 procurement strategie kurz update.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Call internal 16.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Cs Workshop 1.md,Apple Notes,Meetings,0.65,keywords=workshop
Apple Notes/CIQ/Clients/CS/Cs intro 09.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Cs intro with caroline (23.01).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Cs sourcing call internal 23.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Cs weekly call.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Cs weekly with customer 16.01.md,Apple Notes,Customers,0.65,keywords=customer
Apple Notes/CIQ/Clients/CS/Intro cS.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Planzer 13.03.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Uetlihof CS austausch stefanie.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Ütliberg Meeting UH1 procurement strategy.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Clients/CS/Weekly CS call (with CS) 25.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/Weekly cs actions.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/CS/cS uetlihof 22.02 (.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Consortia.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Franke/Franke kick off dirk 06.01 + 17.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Franke/Loomis.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Implenia/Austausch kevin gross - 10.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Implenia/Implenia sourcing internal rewiew.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Implenia/Mcp scrum & Implenia Lease Discussion.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Implenia/SPOT Meeting I.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Clients/Joachim - intro - 16.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/KPMG/Absprache enerprise - mit KPMG.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/KPMG/Joint internal Team STC DM.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/KPMG/Kpmg visit .md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/KPMG/Training Video KPMG.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Kpmg (ursula austausch). 09.01.23.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/IFM/Edi türen.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/IFM/IFM intro mit Marie.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/IFM/Manor Jour Fix.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/IFM/Manor Sicherheit.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/IFM/Preis Analyse manor 17.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/+ Transport SR.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/- Debris _.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/2021 Total 555256 Manor Rohdaten.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/42K=.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Antwort & plan.md,Apple Notes,Projects,0.85,"keywords=plan,project"
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Auswertung.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Auswertungen Nick 14.10.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/BTW 1. 33.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Batna abc.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Belinda 29.08.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Besprechung Alex - 021222.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/CTW m1 1410 Vertrag.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Carin pro Filial.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Chain iq übergabe Rolf Imhof.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Ctw nachbesprevhung 21.09.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Findings.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/General Idea.md,Apple Notes,Ideas,0.65,keywords=idea
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Gesprächsnotiz manor.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Hallo Belinda.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Have mindliche Update.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Immaterialgüterrecht - Geistiges Eigentum.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Intro Slides.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/LeClerc.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Leclerc 1.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Leclerc 2.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Leclerc 311 .md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Leclerc Vertragsfragen.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Lederc.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/MANORRFP.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Manly Data.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Manor 20% 1.6m Risiko.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Manor Eskalation.md,Apple Notes,Projects,0.65,keywords=project
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Manor Update-Escalation 20%.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Manor systems.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Meeting Alex, Fabien, Marine, op.md",Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/NF af Food truck.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Output meetings.md,Apple Notes,Projects,0.53,keywords=project
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Panzer.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Pit Stop tsi2.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Pitstop 21.09.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Planzer Angebots Besprechung (Runde 2, 3 Eingabe).md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Planzer Daten Call.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Planzer Daten.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Planzer.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Pricing Idea.md,Apple Notes,Projects,0.53,keywords=delivery
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Ridate.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/SEA 1 Anyang 7 - Joureph tangier.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Sasina-letti.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Sieber m1 vertrag 14.10.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Sieber t2 1810.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Sieber.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Termine.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Thought Marcel.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Todo Nicole _ op.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Vorbereitung 2. Evaluationsrunde.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Was mit heute klar ist, mit dem bidsheet versuchte ich ein syamesiacher….md",Apple Notes,Projects,0.53,keywords=launch
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Weekly manor 2810.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/Zu hohe Stell Platz ( in _______.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/______ test Anicolei.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Logistics DCHWCH National/lade _ Va's.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/Manor/Security/Standpunkt Meeting 02.12.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Clients/Savings Methodology (new CIQ).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/UBS/Contract Manager Meeting UBS 24.01.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Clients/UBS/HGHG Nachtrag richard spengler.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/UBS/Heizöl cS uBs.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/UBS/Matthias ubs handover 2.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/UBS/Meeting sonja ruth - altstetten - 21.02.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Clients/UBS/Sourcing UBS call (internal) 18.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/UBS/UBS ACAC 3rd party leasing.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/UBS/UBS Intro Raffe 21.M.22.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Clients/UBS/Weekly call UBS (25.01).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Global/CatMan Intro Video.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Global/Emea FM-RE Category Management Meeting.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Global/GSL call 12.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Global/Implenia und Kpmg new Meeting structure.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Global/Marcel leadership talk dezember.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Global/Sibylle Marketplace.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Global/Stefanie John Kpmg aussenst. +manor ifm.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Global/Stefanie John project without saving 19.01.md,Apple Notes,Projects,0.65,keywords=project
Apple Notes/CIQ/Global/Stefanie John.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Global/Weekly CatchUp GSL-GSM-Teamleads.md,Apple Notes,Reference,0.47,fallback-reference
"Apple Notes/CIQ/Guten Morgen Daniel,.md",Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Hypophisis Manor.md,Apple Notes,Projects,0.61,"keywords=delivery,project"
Apple Notes/CIQ/Into.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Manor Empfehlung Call.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Sourcing support & cycle time.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1 Dani - 08.02.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1 Dani.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/11 caroline banas.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/11 ralph.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/11 tamara (planung).md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/11 victor 20.02.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/11 wadim.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Artur 11 21.02.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Artur 11.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Artur 18.04.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Brainstorm - FM-RE.md,Apple Notes,Ideas,0.65,keywords=brainstorm
Apple Notes/CIQ/Team/1.1‘s/Cs handover Caroline.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Einfall ARD Call Matthias.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/First 1.1 Marie.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Judit vazsita 07.02. 23.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Lbatosz.krygier@credit-suisse.com.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Ralf 11.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Tino 30.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Tino Duci 11.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/1.1‘s/Wadim 11.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/11 Dani 18.01.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/121 Daniel 14.12.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/121 dani 21.12.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/9 Box Model training Video.md,Apple Notes,AI,0.65,keywords=model
Apple Notes/CIQ/Team/Alain grasser IT.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/Archlet Meeting.md,Apple Notes,Meetings,0.65,keywords=meeting
Apple Notes/CIQ/Team/CEO round table.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/Dani 11.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/Fm weekly planning.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/GPTW Rweview.md,Apple Notes,Reference,0.47,fallback-reference
Apple Notes/CIQ/Team/Gerecht - Contractor..md,Apple Notes,Reference,0.47,fallback-reference
